,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5,nearby_idx_6,nearby_idx_7,nearby_idx_8,nearby_idx_9,nearby_idx_10,nearby_idx_11,nearby_idx_12,nearby_idx_13,nearby_idx_14,nearby_idx_15,nearby_idx_16,nearby_idx_17,nearby_idx_18,nearby_idx_19,nearby_idx_20,nearby_idx_21,nearby_idx_22,nearby_idx_23,nearby_idx_24,nearby_idx_25,nearby_idx_26,nearby_idx_27,nearby_idx_28
184,56.0,189.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,346.0,729.0,859.0,436.0,557.0,,,,,,,,,,,,,,,,,,,,,,,
186,287.0,364.0,328.0,429.0,423.0,422.0,329.0,220.0,330.0,421.0,15.0,247.0,884.0,,,,,,,,,,,,,,,
187,212.0,349.0,727.0,728.0,1001.0,223.0,320.0,,,,,,,,,,,,,,,,,,,,,
188,1012.0,327.0,323.0,283.0,207.0,282.0,118.0,278.0,340.0,341.0,342.0,162.0,739.0,279.0,353.0,563.0,362.0,288.0,232.0,233.0,166.0,322.0,,,,,,
189,56.0,184.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,,
190,191.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,190.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,518.0,179.0,493.0,244.0,268.0,269.0,425.0,455.0,762.0,508.0,798.0,378.0,517.0,,,,,,,,,,,,,,,
195,242.0,275.0,454.0,453.0,311.0,150.0,748.0,633.0,631.0,443.0,698.0,1094.0,944.0,457.0,637.0,632.0,,,,,,,,,,,,
196,951.0,463.0,293.0,5.0,1000.0,16.0,,,,,,,,,,,,,,,,,,,,,,
197,766.0,950.0,890.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
198,1136.0,433.0,1046.0,1095.0,1107.0,,,,,,,,,,,,,,,,,,,,,,,
199,588.0,583.0,579.0,863.0,601.0,81.0,1137.0,590.0,513.0,511.0,598.0,,,,,,,,,,,,,,,,,
200,913.0,514.0,946.0,44.0,57.0,58.0,133.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
201,246.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202,73.0,46.0,149.0,31.0,203.0,403.0,439.0,716.0,744.0,815.0,919.0,920.0,939.0,940.0,,,,,,,,,,,,,,
203,73.0,46.0,149.0,31.0,202.0,403.0,439.0,716.0,744.0,815.0,919.0,920.0,939.0,940.0,,,,,,,,,,,,,,
204,828.0,243.0,853.0,656.0,731.0,,,,,,,,,,,,,,,,,,,,,,,
205,11.0,180.0,660.0,847.0,1040.0,26.0,45.0,230.0,213.0,681.0,121.0,679.0,262.0,29.0,,,,,,,,,,,,,,
206,285.0,623.0,901.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,
207,1012.0,327.0,323.0,283.0,188.0,282.0,118.0,278.0,340.0,341.0,342.0,162.0,739.0,279.0,353.0,563.0,362.0,288.0,232.0,233.0,166.0,322.0,,,,,,
208,697.0,1111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1067.0,972.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
210,79.0,218.0,418.0,135.0,591.0,547.0,546.0,101.0,14.0,3.0,,,,,,,,,,,,,,,,,,
211,917.0,933.0,301.0,968.0,904.0,488.0,703.0,1008.0,1044.0,,,,,,,,,,,,,,,,,,,
212,187.0,727.0,223.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,
