Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96
37.348768,128.1604644,벌-재래종,2,5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.017043,128.8162766,벌-재래종,6,951,4135.0,1705.0,3006.0,5004.0,6942.0,7598.0,2165.0,5834.0,8075.0,6945.0,944.0,4141.0,606.0,8078.0,2168.0,1713.0,1712.0,1711.0,3486.0,951.0,2170.0,4150.0,6470.0,5841.0,2563.0,6469.0,1375.0,5836.0,5011.0,5015.0,5030.0,973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.6932767,128.7045904,벌-재래종,4,3440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.61436,127.2851097,벌-재래종,30,100,6287.0,2024.0,7892.0,8376.0,6751.0,4774.0,7477.0,100.0,3221.0,7388.0,2855.0,7244.0,3327.0,5698.0,3946.0,2477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.6190338,127.5915186,벌-재래종,5,2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.017043,128.8162766,벌-재래종,2,951,4135.0,1705.0,3006.0,5004.0,6942.0,7598.0,2165.0,5834.0,8075.0,6945.0,944.0,4141.0,606.0,8078.0,2168.0,1713.0,1712.0,1711.0,3486.0,951.0,2170.0,4150.0,6470.0,5841.0,2563.0,6469.0,1375.0,5836.0,5011.0,5015.0,5030.0,973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.6966455,128.969731,벌-재래종,4,8855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.9796571,128.3675653,벌-재래종,4,5000,5000.0,3002.0,4603.0,3480.0,4133.0,7269.0,1704.0,7239.0,6940.0,938.0,5831.0,2163.0,8911.0,522.0,6465.0,8487.0,1374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8140141,128.1452309,벌-재래종,2,1167,1847.0,7287.0,6075.0,4359.0,5257.0,6635.0,7710.0,4360.0,7147.0,5281.0,5267.0,3686.0,8236.0,699.0,1860.0,7172.0,4390.0,6652.0,8561.0,6650.0,2694.0,8235.0,5618.0,3681.0,4383.0,3684.0,1866.0,4388.0,7148.0,7720.0,1171.0,6091.0,7166.0,7174.0,698.0,6639.0,1159.0,7718.0,4387.0,6094.0,6090.0,2322.0,1865.0,6093.0,6092.0,410.0,3149.0,3685.0,4381.0,1167.0,2701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8140141,128.1452309,벌-재래종,4,1167,1847.0,7287.0,6075.0,4359.0,5257.0,6635.0,7710.0,4360.0,7147.0,5281.0,5267.0,3686.0,8236.0,699.0,1860.0,7172.0,4390.0,6652.0,8561.0,6650.0,2694.0,8235.0,5618.0,3681.0,4383.0,3684.0,1866.0,4388.0,7148.0,7720.0,1171.0,6091.0,7166.0,7174.0,698.0,6639.0,1159.0,7718.0,4387.0,6094.0,6090.0,2322.0,1865.0,6093.0,6092.0,410.0,3149.0,3685.0,4381.0,1167.0,2701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
